Title,PositiveReview,NegativeReview,Score,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,CharacterLenTitle,CharacterLenPropertyResponse,CharacterLenPositive,CharacterLenNegative,Score2,PropertyResponseYesOrNo,CLT_bins,CLP_bins,CLN_bins
Exceptional,"The proximity to the airport, free parking, large rooms! very clean",,10.0,Israel,Family Suite with Balcony,1,2022-06-01,Group,,25,0,67,0,10.0,No,3,5,1
Very good city hotel,The hotel is close to Larnaca Airport and the beach. For the best.,,9.0,Germany,Double Room with Balcony,1,2022-06-01,Couple,,43,0,66,0,9.0,No,5,5,1
Very good,Very clean accommodation. Friendly staff. Very pleasant terrace in the evening.,The quality of the television image quite poor.,8.0,Belgium,Double Room,1,2022-06-01,Couple,,21,0,79,47,8.0,No,3,5,5
"Good service, cleanliness, comfortable and quiet area",everything in general,,10.0,Spain,Double Room with Balcony,1,2022-06-01,Couple,,109,0,21,0,10.0,No,5,3,1
Very good,proximity to the airport for those arriving during the night,,8.0,Brazil,Double Room with Balcony,1,2022-06-01,Couple,,21,0,60,0,8.0,No,3,5,1
Very good,Very friendly reception. Nice quiet room.,,8.0,Germany,Double Room with Balcony,2,2022-06-01,Couple,,21,0,41,0,8.0,Yes,3,5,1
Nice accommodation near the airport,"Clean, friendly staff, very close to the beach and the airport, lots of restaurants nearby, relatively quiet location.","The room is not sealed off from the corridor, you can hear everything. Somewhat small and sterile rooms.",8.0,Austria,Double Room with Balcony,1,2022-06-01,Couple,,73,0,118,104,8.0,No,5,5,5
Nice and pleasant,clean and comfortable,the view from my room..,8.0,France,Budget Twin Room,1,2022-06-01,Family,,37,0,21,23,8.0,Yes,4,3,3
"Quiet, modern, nice and clean but small",The room was modern with a large and very comfortable bed. The shower really good. There was also great quiet and it was very easy to set up the room so you wouldn't be disturbed. Everything very clean.,"The size of the room was just enough to spend one night, not much more. The ridiculous closet. The price is perhaps a little high for the comfort that a room gives you that is small as soon as you enter. If I were to go with my partner we would have been disappointed due to the lack of space.",8.0,Spain,Double Room with Balcony,1,2022-06-01,Solo,"Thank you for your comments; we have different sizes of rooms at the hotel, basically when the reservation is for 2 persons, they got a bigger room. 
All rooms have the sames quality of beds and the same toilets but the sizes of rooms  differ.",81,243,202,293,8.0,No,5,5,5
Alright,Close to Larnaca airport and 5min walk to the beach. Very quiet hotel with a restaurant in the enclosure which is very good. The breakfast on the terrace is very nice too!,/,8.0,France,Suite with Balcony,1,2022-06-01,Family,,17,0,171,1,8.0,No,2,5,1
Exceptional,"The kindness and availability of the staff, the restaurant offering a good quality of dishes.
The comfortable and very clean room. The calm
Proximity to the city center and the beach.
Very good value for money",Ras,10.0,France,Budget Twin Room,1,2022-06-01,Couple,,25,0,209,3,10.0,No,3,5,1
A warm welcome and a very warm place 😊,"the establishment is really close to the airport, i.e. 6 minutes by car.
the managers of the hotel are extraordinarily kind and caring
they speak French and helped us find a rental car at a good price, they accompanied and advised us during our stay.
the room is nice and well furnished
I highly recommend this hotel",the small downside concerns the light from the outside at certain times,9.0,France,Double Room,1,2022-06-01,Couple,,79,0,316,71,9.0,No,5,5,5
Everything is very good!,Very good breakfast! Comfortable bed. Purely. Friendly staff.,"Not all rooms have a balcony. I did not have it. Staying for one day is fine, but if you live for a while, then how to dry your towel and swimsuit ...",8.0,Latvia,Double Room,1,2022-06-01,Solo,"Thank you for your comment; the room you have chosen in your  reservation is  a room without balcony. There are 2 kinds of double room at the hotel: rooms with balcony and rooms without balcony, the kind of room is provided upon the choice of the guest while booking.",51,267,61,150,8.0,No,5,5,5
Very good,"Very friendly staff, and communication with the hotel before our arrival very fluid. The rooms are spacious and comfortable.
It is ideally located near the airport, 5min by bus.","It's a detail, but we would have appreciated having 2 small bottles of water in the room when we arrived",8.0,France,Double Room with Balcony,1,2022-05-01,Couple,,21,0,177,104,8.0,No,3,5,5
Alright !,"Very nice staff, restaurant and hotel very good. We stayed here for one night when we arrived before leaving to visit the island. We recommend without any problem, very quiet and clean.","We had ordered a shuttle and thought it was specific to the hotel but it turned out to be just a lambda taxi, the problem is that we waited for it for 40 minutes because it was late but nobody warned us. We had to pay it straight away when we thought it would be included in the hotel bill at the end of the stay. It would be better to indicate directly that it is independent of the hotel, we would not have waited in front of other taxis and tried to reach everyone...",9.0,France,Family Suite with Balcony,1,2022-05-01,Family,,21,0,185,470,9.0,No,3,5,5
The room very functional and clean. very welcoming and caring staff.,"The reception of the staff, the cleanliness and the quality of the room.",,9.0,France,Double Room,1,2022-05-01,Solo,,139,0,72,0,9.0,No,5,5,1
Perfect for one night,Good central location. Very nice staff. Neat small hotel.,Very noisy,8.0,Germany,Double Room with Balcony,1,2022-05-01,Couple,,45,0,57,10,8.0,No,5,5,1
"I recommend, great value for money","cleanliness, space, location",garbage truck at 3am making a lot of noise,9.0,Poland,Double Room with Balcony,1,2022-05-01,Couple,,71,0,28,42,9.0,No,5,3,5
Wonderful,Clean,,9.0,Israel,Double Room,1,2022-05-01,Couple,,21,0,5,0,9.0,No,3,1,1
Very good,Nice clean hotel near the airport. The room has everything you need. Also in 7-10 minutes you can walk to the embankment. The staff are friendly and try to help.,"I booked a room with one bed, in fact it was 2 separate beds, no one warned about this, it was very uncomfortable for me and my husband to sleep, having moved the mattresses. If I had known from the beginning that there would not be a room with one bed, I would have chosen another hotel. It spoiled the impression.",8.0,Ukraine,Double Room,1,2022-05-01,Couple,,21,0,161,315,8.0,No,3,5,5
Amazing attitude from the staff,"The owner of the place is an amazing guy, nice and answers everything! There are breakfasts, not a big variety but tasty",,10.0,Israel,Double Room with Balcony,3,2022-05-01,Couple,,65,0,120,0,10.0,No,5,5,1
"For one night, after a late arrival, the hotel was wonderful! there is a small café downstairs where you can go for an egg","super friendly staff and a clean, modern room",we didn't have a balcony. It wasn't bad though as we were only there for one night.,8.0,Germany,Double Room,1,2022-05-01,Couple,"Thank you for your review. The type of room you choose while booking was a room without balcony. 
There are at the hotel rooms with balcony and rooms without balcony, it depends on the choice of the guest while booking.",247,219,45,83,8.0,No,5,5,5
Very good,Good location near the airport and the beach.,Noisy air conditioning and night traffic in the area.,8.0,Czech Republic,Double Room,1,2022-05-01,Couple,,21,0,45,53,8.0,No,3,5,5
Lovely again.,"Nice modern room.
Boss and family take care of that
Well-being of your guests!",There was nothing to complain about!,10.0,Germany,Double Room,1,2022-05-01,Solo,,29,0,78,36,10.0,No,3,5,4
Exceptional,Very good homemade breakfast.,,10.0,France,Two-Bedroom Suite,1,2022-04-01,Family,,25,0,29,0,10.0,No,3,3,1
Very good,"When the booked taxi didn't show up at 3 in the morning, the Htl owner drove me to the airport himself after I rang him out of bed....",,8.0,Switzerland,Double Room,1,2022-05-01,Solo,,21,0,134,0,8.0,No,3,5,1
"Perfect, thank you very much for the hospitality","I loved the staff, they always greeted us with a smile, they were really nice, they always responded to the help we needed, they called us a taxi, they didn't charge me again because I lost my room ticket, a stunning hotel, an aesthetic and clean place with innovative and interesting service that you can really request at the push of a button that you won't be able to hear the bell, I have never come across this in my life amazing thank you so much to this hotel.",A bit far from the city center but taxis cost us the same price from anywhere in the city so it's not critical other than that it's a stunning place.,10.0,Israel,Double Room with Balcony,3,2022-04-01,Family,,99,0,467,149,10.0,No,5,5,5
Wonderful,the room and the staff!,,9.0,Cyprus,Standard Triple Room,2,2022-05-01,Couple,,21,0,23,0,9.0,No,3,3,1
Exceptional,"Small, modern hotel with very friendly and helpful hosts.
30 minute walk from Larnaca center and 10 minute walk from beautiful Mackenzie Beach!
I'd love to come back!",,10.0,Austria,Double Room with Balcony,3,2022-05-01,Solo,,25,0,166,0,10.0,No,3,5,1
Nice 3 star hotel.,"Very friendly and helpful
Staff.",Wifi was weak at times.,8.0,Germany,Double Room,3,2022-05-01,Solo,,39,0,32,23,8.0,No,4,4,3
Exceptional,"It was very new, clean and quite modern. Excellent price/quality ratio",Anything,10.0,Colombia,Standard Triple Room,1,2022-05-01,Couple,,25,0,70,8,10.0,No,3,5,1
"Perfect, i recommend","Delicious homemade breakfast, they speak French. Are very caring and welcome you 24 hours a day and very close to the airport!",,10.0,France,Two-Bedroom Suite,1,2022-05-01,Family,,43,0,126,0,10.0,No,5,5,1
Wonderful,Everything was wonderful! ☆☆☆☆☆,,9.0,Germany,Double Room with Balcony,1,2022-04-01,Solo,,21,0,31,0,9.0,No,3,4,1
A quiet place,kindness,,10.0,Spain,Double Room with Balcony,3,2022-04-01,Family,,29,0,8,0,10.0,No,3,1,1
Exceptional,"An intimate hotel with service at the highest level.
The cuisine is simple but tasty.
Location on +., close to the beach, gastronomy and the airport",,10.0,Poland,Double Room with Balcony,2,2022-04-01,Solo,,25,0,148,0,10.0,Yes,3,5,1
Excellent value for the price,"A renovated, brilliant family hotel with a very friendly staff. Suited us for a one night stay before a flight. We had dinner at the hotel restaurant and it was excellent! The chef gave a personal touch to understand exactly what we want. recommended.",,10.0,Israel,Two-Bedroom Suite,1,2022-04-01,Family,,61,0,251,0,10.0,No,5,5,1
Airport connection top,Perfect location to the airport. Very friendly reception. Very clean.,,10.0,Germany,Standard Triple Room,1,2022-04-01,Family,,47,0,69,0,10.0,No,5,5,1
Beautiful and relaxing stay,"Location, room comfort, service and courtesy of the staff.",Everything was perfect !,10.0,Cyprus,Double Room with Balcony,1,2022-04-01,Group,,57,0,58,24,10.0,No,5,5,3
Exceptional,"Great hotel, lovely staff, ready to help at any hour",,10.0,Israel,Standard Triple Room,1,2022-04-01,Family,,25,0,52,0,10.0,No,3,5,1
Overall it was okay,It was very clean. The host was very nice. He gave us instructions on how to get to the hotel and then even picked us up at the bus stop because we were very late,the humid air in the room. It was very warm. The air conditioning probably didn't work properly,9.0,Germany,Double Room,1,2022-04-01,Couple,,41,0,162,95,9.0,No,5,5,5
Exceptional,"Very friendly staff, very clean everywhere. Nice room with a nice balcony. Quiet and peaceful area. Definitely a hotel worth visiting again.",All was well,10.0,Denmark,Double Room with Balcony,1,2022-04-01,Couple,,25,0,140,12,10.0,No,3,5,2
"Great, try it.","Comfortable, clean, modern, pleasant. The hosts are very nice, they help in everything.",,10.0,Hungary,Double Room with Balcony,2,2022-04-01,Couple,,31,0,87,0,10.0,No,4,5,1
Very good,"Welcoming environment, courtesy, cleanliness, modern room.","I would like more variety at breakfast.
The price to food ratio was disproportionate.",8.0,Cyprus,Double Room with Balcony,1,2022-04-01,Group,,21,0,58,85,8.0,No,3,5,5
Hotel near the airport,"Very clean, comfortable bed, perfect location (near the airport), very friendly welcome, very comfortable bed, tea and coffee in the room.",There was no hair dryer,9.0,France,Double Room,1,2022-03-01,Solo,,47,0,138,23,9.0,No,5,5,3
Wonderful,The staff is very friendly,,9.0,Croatia,Double Room,1,2022-01-01,Couple,,21,0,26,0,9.0,No,3,3,1
Only pleasant emotions and memories,"The hotel is clean, comfortable and a good location. Very close to Salt Lake and Mackenzie Beach. Very close to bus stop. Very close to the airport, the bus only costs 1.5 euros to and from the airport. From the hotel you can just walk along the entire promenade of Larnaca, you won’t miss anything. A calm step along the sea to the Church of St. Lazarus 30-40 minutes. The room was wonderful. White bed. Breakfast can be bought directly at the hotel for only 8 euros. I rented a car, there is a place to park. The shower is wonderful, the air conditioner works, we were in January, it was very warm and sunny. Everything is great. The owner of the hotel was very friendly, allowed to leave things, even after we checked out, I highly recommend,",,10.0,Ukraine,Double Room,1,2022-01-01,Group,,73,0,745,0,10.0,No,5,5,1
